client_id,target
1515915625468060902,0
1515915625468061003,1
1515915625468061099,0
1515915625468061100,0
1515915625468061170,0
1515915625468061514,0
1515915625468061877,0
1515915625468061975,0
1515915625468061994,0
1515915625468062158,0
1515915625468062184,0
1515915625468062203,0
1515915625468062556,0
1515915625468062558,0
1515915625468062595,0
1515915625468062659,0
1515915625468062723,0
1515915625468062757,0
1515915625468062941,0
1515915625468063026,1
1515915625468063069,0
1515915625468063184,0
1515915625468063334,0
1515915625468063379,0
1515915625468063381,1
1515915625468063399,0
1515915625468063407,0
1515915625468063442,0
1515915625468063468,0
1515915625468063591,0
1515915625468063746,0
1515915625468063772,0
1515915625468063775,0
1515915625468063833,0
1515915625468063854,0
1515915625468063929,0
1515915625468064040,0
1515915625468064112,0
1515915625468064290,0
1515915625468064356,0
1515915625468064438,0
1515915625468064446,0
1515915625468064807,0
1515915625468064867,0
1515915625468064943,0
1515915625468065081,0
1515915625468065092,0
1515915625468065100,0
1515915625468065250,0
1515915625468065413,0
1515915625468065450,0
1515915625468065603,0
1515915625468065652,1
1515915625468065671,0
1515915625468066077,0
1515915625468066292,0
1515915625468066318,0
1515915625468066388,0
1515915625468066403,0
1515915625468066405,0
1515915625468066562,0
1515915625468066575,0
1515915625468066580,0
1515915625468066803,0
1515915625468066902,0
1515915625468066927,0
1515915625468067083,0
1515915625468067098,0
1515915625468067124,0
1515915625468067197,0
1515915625468067342,0
1515915625468067350,0
1515915625468067414,0
1515915625468067429,0
1515915625468067505,0
1515915625468067672,0
1515915625468067715,0
1515915625468067792,0
1515915625468067839,0
1515915625468067864,0
1515915625468067870,0
1515915625468068160,0
1515915625468068171,0
1515915625468068308,0
1515915625468068447,0
1515915625468068561,0
1515915625468068600,0
1515915625468068605,0
1515915625468068690,0
1515915625468068833,1
1515915625468068840,0
1515915625468068868,0
1515915625468068883,0
1515915625468068915,0
1515915625468068925,0
1515915625468068931,0
1515915625468068974,0
1515915625468069037,0
1515915625468069101,0
1515915625468069115,0
1515915625468069178,0
1515915625468069342,0
1515915625468069361,0
1515915625468069488,0
1515915625468069655,0
1515915625468069714,0
1515915625468069796,0
1515915625468069873,0
1515915625468069875,0
1515915625468069903,0
1515915625468069976,0
1515915625468069995,0
1515915625468070051,0
1515915625468070068,0
1515915625468070092,0
1515915625468070109,0
1515915625468070155,0
1515915625468070166,0
1515915625468070175,0
1515915625468070230,0
1515915625468070311,0
1515915625468070414,0
1515915625468070488,0
1515915625468070537,0
1515915625468070576,0
1515915625468070628,0
1515915625468070629,0
1515915625468070718,0
1515915625468070921,0
1515915625468070925,0
1515915625468071093,0
1515915625468071147,0
1515915625468071185,0
1515915625468071363,0
1515915625468071463,0
1515915625468071483,0
1515915625468071585,0
1515915625468071647,0
1515915625468071652,0
1515915625468071809,0
1515915625468071866,0
1515915625468071919,0
1515915625468071921,0
1515915625468071937,0
1515915625468072009,0
1515915625468072035,0
1515915625468072085,0
1515915625468072086,0
1515915625468072322,1
1515915625468072362,0
1515915625468072367,0
1515915625468072415,0
1515915625468072486,0
1515915625468072531,0
1515915625468072583,0
1515915625468072652,0
1515915625468072696,0
1515915625468072779,0
1515915625468072855,0
1515915625468073040,0
1515915625468073058,0
1515915625468073080,0
1515915625468073179,0
1515915625468073206,0
1515915625468073229,0
1515915625468073246,0
1515915625468073335,0
1515915625468073343,0
1515915625468073358,0
1515915625468073426,0
1515915625468073490,0
1515915625468073494,0
1515915625468073534,0
1515915625468073741,0
1515915625468073778,0
1515915625468073780,1
1515915625468073782,0
1515915625468073833,0
1515915625468074004,0
1515915625468074009,0
1515915625468074134,1
1515915625468074176,0
1515915625468074193,0
1515915625468074539,0
1515915625468074652,0
1515915625468074795,0
1515915625468074997,0
1515915625468075274,0
1515915625468075293,0
1515915625468075319,0
1515915625468075359,0
1515915625468075378,0
1515915625468075382,0
1515915625468075433,0
1515915625468075478,0
1515915625468075566,0
1515915625468075569,0
1515915625468075579,0
1515915625468075765,0
1515915625468075817,0
1515915625468075908,0
1515915625468075958,0
1515915625468075985,0
1515915625468076033,0
1515915625468076060,0
1515915625468076445,0
1515915625468076572,0
1515915625468076743,0
1515915625468076763,0
1515915625468076858,1
1515915625468076977,0
1515915625468077002,0
1515915625468077036,0
1515915625468077038,0
1515915625468077070,0
1515915625468077137,0
1515915625468077182,0
1515915625468077208,0
1515915625468077215,0
1515915625468077284,0
1515915625468077333,0
1515915625468077459,0
1515915625468077551,0
1515915625468077556,0
1515915625468077563,0
1515915625468077763,0
1515915625468077835,0
1515915625468077915,0
1515915625468077927,0
1515915625468078050,0
1515915625468078074,0
1515915625468078180,0
1515915625468078191,1
1515915625468078207,0
1515915625468078330,0
1515915625468078462,0
1515915625468078529,0
1515915625468078544,0
1515915625468078584,0
1515915625468078609,0
1515915625468078646,0
1515915625468078717,0
1515915625468078729,0
1515915625468078739,0
1515915625468078786,0
1515915625468078794,0
